track_id,track_name,track_artist,track_artist_id,track_popularity,track_album_id,track_album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0uLT7dUvIMUyPqW8TLqqaE,All These Years,Sawyer Brown,50hFWG3MaUUX5phNrrVc97,17,2diBQWcNRhSXmQswC082M9,Greatest Hits 1990-1995,1995-01-24,0.433,0.255,6,-7.257,1,0.0273,0.764,0,0.12,0.184,142.891,201693
0JXOdaqTOfGEXXUEw7XvbX,The Wagon,Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,16,4eZ76irqXk1wvH7yPnMxtc,Puke + Cry: The Sire Years 1990-1997,2024-09-06,0.255,0.984,7,-6.37,1,0.0957,4.05e-05,0.000386,0.417,0.208,171.792,296186
02ZdZqhpfrPnxwyakXgxB8,Lump,The Presidents Of The United States Of America,1lZvg4fNAqHoj6I9N8naBM,69,7qh8188T5LB7bdCBlk6SO1,The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition,1995-01-01,0.507,0.882,6,-3.917,1,0.0337,0.0053,0,0.177,0.907,142.398,134200
7DOazUUfiRn9Nq6jiCCIxX,99,SUCKERPUNCH!,02tk2pnlF7dDfwMVhth4pp,29,62vIo3Eoa6bDTxibXgUkzg,99,2024-04-24,0.551,0.887,11,-4.627,1,0.0607,0.00556,0,0.353,0.758,94.029,162557
4VF14xalVYlSc7oMztGILz,25 Years Too Late,The Casualties,5uMNhVG30JzeZ5xtPb1tqR,6,1uZ9gjdwx4BREXrKfcijo9,The Early Years 1990 - 1995,1999-01-01,0.31,0.95,4,-5.696,1,0.274,0.00107,0.000203,0.224,0.395,167.508,110178
0Pu71wxadDlB8fJXfjIjeJ,Shoop,Salt-N-Pepa,7wqtxqI3eo7Gn1P7SpP6cQ,69,2W2EmEpud13QHlhCFS9P8g,Very Necessary,1993-10-12,0.939,0.674,0,-7.232,1,0.212,0.091,0,0.0565,0.792,96.918,248573
5P7OmNMrwRZlaTh2SqfyUx,Puke + Cry - 2019 Remaster,Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,15,4eZ76irqXk1wvH7yPnMxtc,Puke + Cry: The Sire Years 1990-1997,2024-09-06,0.38,0.935,0,-7.122,1,0.0456,0.000389,4.93e-06,0.144,0.645,103.067,267653
3zgm3SqQfSJQKjddMWXBTs,Punk Rock Love,The Casualties,5uMNhVG30JzeZ5xtPb1tqR,11,1uZ9gjdwx4BREXrKfcijo9,The Early Years 1990 - 1995,1999-01-01,0.204,0.92,2,-4.676,1,0.0561,0.00562,0.909,0.0948,0.278,81.832,120395
1cbxxnbnES1i08QLx0fX1S,Back When (1997),DROELOE,0u18Cq5stIQLUoIaULzDmA,27,04AKWj2Cg2p6nfzEOH5YR5,A Matter Of Perspective,2020-11-13,0.637,0.391,10,-9.743,0,0.0407,0.031,0.706,0.11,0.0372,130.026,154615
6qspW4YKycviDFjHBOaqUY,Waterfalls,TLC,0TImkz4nPqjegtVSMZnMRq,73,5eg56dCpFn32neJak2vk0f,Crazysexycool,1994-11-15,0.769,0.505,1,-7.345,1,0.0829,0.311,7.49e-05,0.0777,0.757,171.804,279506
4LJhJ6DQS7NwE7UKtvcM52,What's My Age Again?,blink-182,6FBDaR13swtiWwGhX1WQsP,77,652N05EcNH1a4bIlUixQE2,Enema Of The State,1999-06-01,0.391,0.951,6,-7.419,1,0.0688,0.012,0.000446,0.0878,0.468,157.663,148360
6pY9OSp1WpGkaQ4XUNlpmn,Oi! Song,The Casualties,5uMNhVG30JzeZ5xtPb1tqR,10,1uZ9gjdwx4BREXrKfcijo9,The Early Years 1990 - 1995,1999-01-01,0.389,0.77,1,-5.085,0,0.0501,0.00191,0.877,0.437,0.489,141.771,89443
1jLLZqpmFOaxTP4wbpdFEd,Blowing It - 2019 Remaster,Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,14,4eZ76irqXk1wvH7yPnMxtc,Puke + Cry: The Sire Years 1990-1997,2024-09-06,0.495,0.881,7,-8.687,1,0.0458,0.000354,8.41e-05,0.0924,0.782,145.651,164960
1aWV3uY3SIEZVbmv45oFWS,Creep,TLC,0TImkz4nPqjegtVSMZnMRq,64,5eg56dCpFn32neJak2vk0f,Crazysexycool,1994-11-15,0.811,0.458,5,-9.688,0,0.0402,0.0193,1.41e-06,0.0526,0.797,92.94,268533
3LYh34FeJcFjO1fbvs9SOU,Back When (1997),DROELOE,0u18Cq5stIQLUoIaULzDmA,8,7oahaM93xY9DOiQA1avnNI,A Moment In Time,2017-08-22,0.687,0.39,10,-9.697,0,0.0408,0.0323,0.765,0.107,0.0372,130.027,154615
44DWDEGcmNMWiALGFfoVOA,40 Ounce Casualty,The Casualties,5uMNhVG30JzeZ5xtPb1tqR,8,1uZ9gjdwx4BREXrKfcijo9,The Early Years 1990 - 1995,1999-01-01,0.25,0.87,11,-5.703,0,0.0631,0.000291,6.26e-05,0.67,0.559,79.895,105488
5DiXcVovI0FcY2s0icWWUu,Mr. Jones,Counting Crows,0vEsuISMWAKNctLlUAhSZC,76,4nKfZbCALT9H9LfedtDwnZ,August And Everything After,1993-01-01,0.578,0.817,0,-6.541,1,0.0363,0.183,2.85e-06,0.285,0.734,141.621,272293
0ttHpMs250dpFkCYAnuhnE,Good,Better Than Ezra,4UuoJfJ9UybJft7a8E6UHX,58,0c8yj78CBgDsEvq9pzudIS,Deluxe,1995-02-28,0.615,0.657,7,-6.873,1,0.029,0.000372,0.0204,0.132,0.792,109.95,185093
4GOfYrHbNtqyKFdml3HGCL,I Live For That Look - 2019 Remaster,Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,13,4eZ76irqXk1wvH7yPnMxtc,Puke + Cry: The Sire Years 1990-1997,2024-09-06,0.299,0.948,0,-5.774,1,0.0648,2.5e-05,0,0.129,0.349,146.112,116400
2uPnAm6jSu2nbn8XA2pqKk,Fuck You All,The Casualties,5uMNhVG30JzeZ5xtPb1tqR,8,1uZ9gjdwx4BREXrKfcijo9,The Early Years 1990 - 1995,1999-01-01,0.223,0.997,6,-4.002,0,0.109,0.0666,0,0.0988,0.294,172.769,158685
05dCndyWKcjaUeUbVJzR0F,1996,Ander Mac,6nqQnyjBR48HfJvLGJ650U,0,0TIlvfvRq9mYo3ibQJgeFL,Alter Ego,2022-11-01,0.817,0.798,11,-5.424,0,0.255,0.436,0,0.31,0.727,130.012,231230
2He3NOyqtLNE3RQPpeDdSb,Groove Is in the Heart,Deee-Lite,4eQJIXFEujzhTVVS1gIfu5,67,4sTAgYLZy5zwqR3kT1g0oh,World Clique,1990-08-07,0.694,0.881,1,-4.053,0,0.0701,0.0153,0.0196,0.0851,0.924,121.554,231786
5Iusq0v27M1BSP0V18b5Br,Ugly Bastards,The Casualties,5uMNhVG30JzeZ5xtPb1tqR,9,1uZ9gjdwx4BREXrKfcijo9,The Early Years 1990 - 1995,1999-01-01,0.347,0.897,6,-4.974,1,0.0688,0.00322,0.00369,0.305,0.576,115.059,119257
6hrT8u8fJBWKxa5u8wRZMd,How'd You Pin That One On Me - 2019 Remaster,Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,12,4eZ76irqXk1wvH7yPnMxtc,Puke + Cry: The Sire Years 1990-1997,2024-09-06,0.229,0.99,1,-5.378,0,0.103,3.06e-05,0.00131,0.109,0.291,97.508,263653
7wqVUlea2mUe3N5a2X8YA4,1990something,Sub-Radio,2lCUVconWp5YjxdYssfZ8J,45,2Zrje7pF0RHwhbKcAuwnj0,1990something,2022-07-08,0.589,0.893,4,-3.123,1,0.0414,0.000844,0,0.365,0.564,150.963,183055
5huLMzIzFEdVcvEzt2hfk1,Peaches,The Presidents Of The United States Of America,1lZvg4fNAqHoj6I9N8naBM,61,7qh8188T5LB7bdCBlk6SO1,The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition,1995-01-01,0.414,0.853,11,-4.198,1,0.0453,0.0181,0.0012,0.049,0.624,93.77,171693
31uta0DdYQHpKpCfoLp7Li,Destruction and Hate,The Casualties,5uMNhVG30JzeZ5xtPb1tqR,8,1uZ9gjdwx4BREXrKfcijo9,The Early Years 1990 - 1995,1999-01-01,0.232,0.818,9,-5.766,1,0.0515,7.01e-05,0.000281,0.616,0.594,70.978,162052
3IA53mJeSImxuymDsQTtLa,Flying Cloud - 2019 Remaster,Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,12,4eZ76irqXk1wvH7yPnMxtc,Puke + Cry: The Sire Years 1990-1997,2024-09-06,0.357,0.46,2,-10.529,0,0.0261,0.318,3.49e-06,0.141,0.652,93.919,155426
35qwJUKVy1OIt0wQ3xEXi0,Round Here,Counting Crows,0vEsuISMWAKNctLlUAhSZC,59,4nKfZbCALT9H9LfedtDwnZ,August And Everything After,1993-01-01,0.313,0.477,7,-9.37,1,0.0342,0.143,7.31e-05,0.0814,0.186,94.192,331400
2nMuFAH5KApU31I8HCHlr8,Political Sin,The Casualties,5uMNhVG30JzeZ5xtPb1tqR,8,1uZ9gjdwx4BREXrKfcijo9,The Early Years 1990 - 1995,1999-01-01,0.284,0.912,6,-6.485,1,0.0621,0.000244,0.222,0.481,0.664,130.885,108204
5ibex0LAmZ1qLWCXY3mCpw,Thumb - 2019 Remaster,Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,11,4eZ76irqXk1wvH7yPnMxtc,Puke + Cry: The Sire Years 1990-1997,2024-09-06,0.411,0.858,7,-6.808,1,0.0779,0.248,0.000512,0.123,0.411,142.546,338373
6CUWzTRmC1GjjSDTtiVfsI,None Of Your Business,Salt-N-Pepa,7wqtxqI3eo7Gn1P7SpP6cQ,54,2W2EmEpud13QHlhCFS9P8g,Very Necessary,1993-10-12,0.765,0.569,6,-9.511,1,0.479,0.193,0,0.0586,0.752,197.9,213173
1HSVpIU0XU1WuwiBLBWAZd,The World I Know,Collective Soul,4e5V1Q2dKCzbLVMQ8qbTn6,63,6zGQoUd5QQ65xMx5OycFgE,Collective Soul,1995-03-14,0.514,0.704,2,-4.724,1,0.0261,0.0508,0.00214,0.228,0.386,76.972,255466
1Z8ASrykdJuUdMnfOvJVaI,For the Punx,The Casualties,5uMNhVG30JzeZ5xtPb1tqR,8,1uZ9gjdwx4BREXrKfcijo9,The Early Years 1990 - 1995,1999-01-01,0.298,0.98,2,-5.532,1,0.22,0.000499,1.92e-05,0.0353,0.196,89.361,163654
6FV0G9whYipeeiTju3DZyU,Water - 2019 Remaster,Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,12,4eZ76irqXk1wvH7yPnMxtc,Puke + Cry: The Sire Years 1990-1997,2024-09-06,0.296,0.936,7,-7.638,1,0.113,0.00349,0.000831,0.116,0.475,137.7,338306
4ti5I6Wxmj8CNpAxVHKohx,Tyler,Toadies,2QMMktUMtwMSwUZATX1cRO,48,7tFTqVGHceSlXOaz8IylBN,Rubberneck,1994-01-01,0.349,0.781,2,-9.789,1,0.029,5.03e-05,0.0264,0.187,0.496,183.768,253173
78YXlqKHyQUtjILR1CkcP1,Kill the Hippies,The Casualties,5uMNhVG30JzeZ5xtPb1tqR,8,1uZ9gjdwx4BREXrKfcijo9,The Early Years 1990 - 1995,1999-01-01,0.281,0.901,11,-6.717,0,0.0846,0.0323,0.888,0.351,0.45,79.468,90650
6u9SShJ2ehaaa0tQA7L5kx,Muck - 2019 Remaster,Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,11,4eZ76irqXk1wvH7yPnMxtc,Puke + Cry: The Sire Years 1990-1997,2024-09-06,0.51,0.843,8,-7.531,1,0.031,6.64e-05,0.00622,0.0685,0.786,113.073,255933
6dW75XbJ1WAMljOXWjTK46,Red Light Special,TLC,0TImkz4nPqjegtVSMZnMRq,53,5eg56dCpFn32neJak2vk0f,Crazysexycool,1994-11-15,0.52,0.449,5,-8.957,0,0.0331,0.205,0.000687,0.191,0.364,189.243,303960
2hx4ptqsE8dboLH3NCLmaN,Father Of Mine,Everclear,694QW15WkebjcrWgQHzRYF,60,7xk1Tl6UZ8OALZkFEagPsM,So Much For The Afterglow,1997-10-07,0.568,0.94,1,-5.401,1,0.0411,0.000431,4.96e-05,0.0779,0.738,97.096,231400
7bUT2PR8aS65zhQSYBDlOC,Bored and Glued,The Casualties,5uMNhVG30JzeZ5xtPb1tqR,7,1uZ9gjdwx4BREXrKfcijo9,The Early Years 1990 - 1995,1999-01-01,0.299,0.873,4,-7.042,0,0.0523,0.00013,0.489,0.359,0.636,91.135,100124
6JeM5gAhLpnveq7LySlSqA,Green Mind - 2019 Remaster,Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,11,4eZ76irqXk1wvH7yPnMxtc,Puke + Cry: The Sire Years 1990-1997,2024-09-06,0.377,0.911,1,-7.463,0,0.0564,5.83e-05,0,0.368,0.613,134.215,299840
